x,y,z
1.397749482560294325e+02,1.394447106423656635e+02,0.000000000000000000e+00
1.063695250919532072e+02,1.800000000000000000e+02,3.525353564126710637e+00
1.461865917062897893e+02,1.300000000000000000e+02,1.795750129143470630e+01
1.019950605924804279e+02,1.411698079901145775e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.501210074336722471e+02,9.710611623751653099e+00
1.000000000000000000e+02,1.628436636574204215e+02,4.768599081351701585e+01
1.300594785717999287e+02,1.800000000000000000e+02,2.517805293380142473e+01
1.176631880515446085e+02,1.800000000000000000e+02,4.973740236366938916e+01
1.344281299807072116e+02,1.445139376664787960e+02,5.000000000000000000e+01
1.207225157712685473e+02,1.800000000000000000e+02,4.772207870888457393e+01
1.420260251166223782e+02,1.800000000000000000e+02,3.740711608649860409e-01
1.000000000000000000e+02,1.489678797091252989e+02,3.876496796496941499e+01
1.000000000000000000e+02,1.493603749553387843e+02,2.341638454370081668e+00
1.000000000000000000e+02,1.347435836247012446e+02,2.759403328884908291e+01
1.415606504300770609e+02,1.617960735122831863e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.600828242957290399e+02,1.582135168297609873e+01
1.138472105753544952e+02,1.578766172811307626e+02,0.000000000000000000e+00
1.004664658519541121e+02,1.470018873511222921e+02,5.000000000000000000e+01
1.207388719807866266e+02,1.350282534553155642e+02,5.000000000000000000e+01
1.400851257289727698e+02,1.786224849608529155e+02,5.000000000000000000e+01
1.065044544785669700e+02,1.800000000000000000e+02,1.311061190928937492e+01
1.210337050611055076e+02,1.300000000000000000e+02,2.810304998199138637e+01
1.111000021542581067e+02,1.533877500556128268e+02,5.000000000000000000e+01
1.359224690980900618e+02,1.800000000000000000e+02,1.281945522741350629e+01
1.486168133431912111e+02,1.800000000000000000e+02,3.114722527986027956e+01
1.193161291965723478e+02,1.800000000000000000e+02,3.412191668837377279e+01
1.410942972243394422e+02,1.300000000000000000e+02,4.584083539712016631e+01
1.247004706857590435e+02,1.381463706611810380e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.329100232045193479e+02,1.575083299272200854e+01
1.004724373166007751e+02,1.326885855117993458e+02,5.000000000000000000e+01
1.500000000000000000e+02,1.696900720786315730e+02,3.491101650748506557e+01
1.148702023391618496e+02,1.346149006729583277e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.557211850077840722e+02,1.776545623331232093e+01
1.417432586703029642e+02,1.300000000000000000e+02,1.109443673250115125e+01
1.111402446561562556e+02,1.657796443228421879e+02,5.000000000000000000e+01
1.337722811094797351e+02,1.300000000000000000e+02,2.186387262066120485e+01
1.274718776293846645e+02,1.300000000000000000e+02,3.778962427637683419e+01
1.000000000000000000e+02,1.730018815795698401e+02,1.470497944068280205e+01
1.344098312547543230e+02,1.800000000000000000e+02,4.626179908670821561e+01
1.017762352099289274e+02,1.300000000000000000e+02,3.050851136376235928e+01
1.237871269216342967e+02,1.800000000000000000e+02,7.126723461394703918e-01
1.500000000000000000e+02,1.791864223348818825e+02,4.526033162768931817e+01
1.064462125043685035e+02,1.384399079136591126e+02,0.000000000000000000e+00
1.267431126719154406e+02,1.616383192349020419e+02,5.000000000000000000e+01
1.500000000000000000e+02,1.688198963048240842e+02,3.688342425498897370e+01
1.355537766844326200e+02,1.326629559619951806e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.765353430352373323e+02,1.600822046324448422e+01
1.080980363570004101e+02,1.645238203566100879e+02,0.000000000000000000e+00
1.241351623678408203e+02,1.442023253834378522e+02,0.000000000000000000e+00
1.409813183648018935e+02,1.371506760652458752e+02,5.000000000000000000e+01
1.031765991019821342e+02,1.300000000000000000e+02,1.269965621855823068e+00
1.500000000000000000e+02,1.329373383153966302e+02,3.308556148766198390e+01
1.000000000000000000e+02,1.725891181989273946e+02,1.635998668621541086e+01
1.292921107879734564e+02,1.300000000000000000e+02,3.523290545642424121e+01
1.000000000000000000e+02,1.789681607529215057e+02,3.320319561307280765e+01
1.033042007495209305e+02,1.629615204066689103e+02,5.000000000000000000e+01
1.479294739712896671e+02,1.300000000000000000e+02,4.859700019898468071e+01
1.000000000000000000e+02,1.515404639924869343e+02,4.276753616898987786e+01
1.000000000000000000e+02,1.513442534048366213e+02,4.420948689560665912e+01
1.500000000000000000e+02,1.605316074048279233e+02,2.466707899172005369e+01
1.412730764179917173e+02,1.300000000000000000e+02,1.089883610108744527e+01
1.294472729237465103e+02,1.300000000000000000e+02,3.758617644607620889e+01
1.339922463933216363e+02,1.300000000000000000e+02,2.902963117544529936e+01
1.059169913310496582e+02,1.300000000000000000e+02,3.000390759017891185e+01
1.000000000000000000e+02,1.746827798385981509e+02,2.287292251143827215e+01
1.392635784247842139e+02,1.300000000000000000e+02,1.291047603309439751e+01
1.393234787877403278e+02,1.697077200761625022e+02,5.000000000000000000e+01
1.469995276926476038e+02,1.300000000000000000e+02,4.398667899421039351e+01
1.244786800344054996e+02,1.586992269552420396e+02,5.000000000000000000e+01
1.000000000000000000e+02,1.457082727704254808e+02,6.585796481687927972e+00
1.371330997554221085e+02,1.644725449215381445e+02,5.000000000000000000e+01
1.500000000000000000e+02,1.368889985387228307e+02,2.366987510641176939e+01
1.500000000000000000e+02,1.400480479271155900e+02,3.202338328256742273e+01
1.202014636181623217e+02,1.300000000000000000e+02,2.665744159998081386e+01
1.492673869977715526e+02,1.300000000000000000e+02,1.696829240723174692e+01
1.056749301550335360e+02,1.800000000000000000e+02,2.824318711936164661e+01
1.217629369089641926e+02,1.300000000000000000e+02,2.756698254215590893e+01
1.365808518955256545e+02,1.300000000000000000e+02,2.405431514292080664e+01
1.290442478900899914e+02,1.735335128372167901e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.391814239767746244e+02,4.275121178630673313e+01
1.382851982023341009e+02,1.506732900621224474e+02,0.000000000000000000e+00
1.457293752583248079e+02,1.300000000000000000e+02,2.807747207236467801e+01
1.267919421409593781e+02,1.300000000000000000e+02,2.188722324831389088e+01
1.199833564035830307e+02,1.444251449508604423e+02,0.000000000000000000e+00
1.373306283697183687e+02,1.800000000000000000e+02,2.731423780973785753e+01
1.500000000000000000e+02,1.735347789599670136e+02,1.884262647947562641e+01
1.000000000000000000e+02,1.616500425355679909e+02,3.376832007625838372e+01
1.479986574243397968e+02,1.361275583199795278e+02,0.000000000000000000e+00
1.411927433574951181e+02,1.313365101805111692e+02,5.000000000000000000e+01
1.393046176117073855e+02,1.800000000000000000e+02,3.170436342130281560e+01
