x,y,z,fx,fy,fz,p
3.470737758674654394e+00,-1.872547008626736620e+00,6.479614725808341413e-02,2.285578705155255008e+01,0.000000000000000000e+00,2.285578705155255363e+01,1.077432134233899660e+03
-3.231934113819263210e+00,-2.104016050436182894e+00,3.035997921134770960e-01,-1.632013822553469495e+01,0.000000000000000000e+00,1.632013822553469495e+01,7.693386939451579565e+02
2.648692690841340625e+00,1.363665734971498678e+00,-8.868412150913949077e-01,4.746161254506101557e+01,0.000000000000000000e+00,-4.746161254506101557e+01,2.237361871777410215e+03
1.483288845149608903e+00,1.514673385142677020e+00,2.052245060783129293e+00,4.511721078403813578e+01,0.000000000000000000e+00,4.511721078403814289e+01,2.126845712907746019e+03
-2.294895420760940663e+00,-2.273836278908063946e+00,-1.240638485171797090e+00,-1.232643497529314125e+01,-0.000000000000000000e+00,-1.232643497529313770e+01,5.810737172589873580e+02
2.369205785589914903e+00,-2.417644243684639704e+00,1.166328120342822627e+00,5.774295324582925382e+00,0.000000000000000000e+00,5.774295324582926270e+00,2.722028920390908411e+02
-3.365482736521013596e+00,2.362772512525598501e+00,-1.700511694117241568e-01,-6.104863467091142581e+00,0.000000000000000000e+00,-6.104863467091141693e+00,2.877860237198775621e+02
2.870853177096804654e+00,3.633803097369066037e-01,6.646807288359333210e-01,6.692339528031178020e+01,0.000000000000000000e+00,6.692339528031179441e+01,3.154799108182416148e+03
-3.342432253990067270e+00,-2.708242608895634618e-01,-1.931016519426700384e-01,-5.985788051908184570e+01,0.000000000000000000e+00,-5.985788051908183860e+01,2.821727548166460110e+03
-1.954288825424302489e+00,1.645503831989445942e+00,1.581245080508437928e+00,-4.018591189855865053e+01,0.000000000000000000e+00,4.018591189855865053e+01,1.894382054109065393e+03
-2.501115963238833118e+00,2.500000000000000000e+00,1.798308847141094347e-01,0.000000000000000000e+00,3.701135725978793811e+00,-0.000000000000000000e+00,1.233711908659597754e+02
-5.497055509187089850e-01,5.084738533005728200e-02,-2.985828355014028990e+00,-6.691335600350342361e+01,-0.000000000000000000e+00,-6.691335600350340940e+01,3.154325852135122204e+03
-8.866826197721060510e-01,-1.587614588288074557e+00,-2.648851286160631702e+00,-3.960906551962382594e+01,-0.000000000000000000e+00,-3.960906551962381883e+01,1.867189255025884222e+03
1.655597843746448472e+00,1.066463681374615335e+00,1.879936062186289281e+00,6.057626691120905349e+01,0.000000000000000000e+00,6.057626691120906770e+01,2.855592607458813291e+03
1.368915426583654948e+00,2.500000000000000000e+00,9.287232336600896865e-01,0.000000000000000000e+00,6.163891566571829017e+00,-0.000000000000000000e+00,2.054630522190609270e+02
-1.486480007979743334e+00,-1.966436074929424294e+00,-2.049053897952994419e+00,-2.648474435046864173e+01,-0.000000000000000000e+00,-2.648474435046863817e+01,1.248502821880565079e+03
-1.934317290053337857e+00,2.500000000000000000e+00,-5.896328052882975346e-01,0.000000000000000000e+00,5.172643045272031337e+00,0.000000000000000000e+00,1.724214348424009984e+02
2.196517578968243622e+00,1.028831753995038678e+00,1.339016326964493908e+00,6.070296640130909083e+01,0.000000000000000000e+00,6.070296640130909793e+01,2.861565278700320505e+03
